sseqid,canonical_id,display_name,gbk_type,category,function_class,cassette_role,tier,verification_status,length_bp,organism_context
SPLICIFY_NONCDS_INTRON_IME_ACTIN_CL_INTRON_IME_019,INTRON_IME_ACTIN__CL_INTRON_IME_019,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,451,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_ACTIN_CL_INTRON_IME_020,INTRON_IME_ACTIN__CL_INTRON_IME_020,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,450,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_ACTIN_CL_INTRON_IME_032,INTRON_IME_ACTIN__CL_INTRON_IME_032,Actin,intron,INTRON_IME,Actin,intron,silver,unverified,460,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_ALPHATUB84B_CL_3dc09139,INTRON_IME_ALPHATUB84B__CL_INTRON_IME_004,Alphatub84B,intron,INTRON_IME,Alphatub84B,intron,silver,unverified,486,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_AMCYAN_CL_INTR_6e57b4bd,INTRON_IME_AMCYAN__CL_INTRON_IME_007,Amcyan,intron,INTRON_IME,Amcyan,intron,silver,unverified,374,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_BETA_GLOBIN_CL_4c007e95,INTRON_IME_BETA_GLOBIN__CL_INTRON_IME_045,Beta-Globin,intron,INTRON_IME,Beta-Globin,intron,silver,unverified,573,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_BLE_CL_INTRON_IME_033,INTRON_IME_BLE__CL_INTRON_IME_033,Ble,intron,INTRON_IME,Ble,intron,silver,unverified,497,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_CARP_CL_INTRON_IME_002,INTRON_IME_CARP__CL_INTRON_IME_002,Carp,intron,INTRON_IME,Carp,intron,silver,unverified,1264,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_CHIMERIC,INTRON_IME_CHIMERIC,chimeric intron,intron,INTRON_IME,chimeric_intron,intron,gold,auto_verified,133,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_CHIMERIC_VAR2,INTRON_IME_CHIMERIC__VAR2,chimeric intron,intron,INTRON_IME,chimeric_intron,intron,gold,auto_verified,144,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_CHITINASE_CL_I_8c9bf960,INTRON_IME_CHITINASE__CL_INTRON_IME_031,Chitinase,intron,INTRON_IME,Chitinase,intron,silver,unverified,123,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_CHLAMYDOMONAS__27bbb0a3,INTRON_IME_CHLAMYDOMONAS__CL_INTRON_IME_008,Chlamydomonas,intron,INTRON_IME,Chlamydomonas,intron,silver,unverified,329,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_CHSA_CL_INTRON_IME_039,INTRON_IME_CHSA__CL_INTRON_IME_039,Chsa,intron,INTRON_IME,Chsa,intron,silver,unverified,1353,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_CHSA_CL_INTRON_IME_040,INTRON_IME_CHSA__CL_INTRON_IME_040,Chsa,intron,INTRON_IME,Chsa,intron,silver,unverified,1353,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_CHTRA_CL_INTRON_IME_006,INTRON_IME_CHTRA__CL_INTRON_IME_006,Chtra,intron,INTRON_IME,Chtra,intron,silver,unverified,2973,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_DLL4_CL_INTRON_IME_005,INTRON_IME_DLL4__CL_INTRON_IME_005,Dll4,intron,INTRON_IME,Dll4,intron,silver,unverified,471,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_EF1_ALPHA_CL_I_18ebe05b,INTRON_IME_EF1_ALPHA__CL_INTRON_IME_038,Ef1-Alpha,intron,INTRON_IME,Ef1-Alpha,intron,silver,unverified,923,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_EN2_CL_INTRON_IME_037,INTRON_IME_EN2__CL_INTRON_IME_037,En2,intron,INTRON_IME,En2,intron,silver,unverified,530,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_FLAVERIA_CL_IN_78df0765,INTRON_IME_FLAVERIA__CL_INTRON_IME_012,Flaveria,intron,INTRON_IME,Flaveria,intron,silver,unverified,779,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_GUSA_CL_INTRON_IME_028,INTRON_IME_GUSA__CL_INTRON_IME_028,Gusa,intron,INTRON_IME,Gusa,intron,silver,unverified,189,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_HUMHPRTB_CL_IN_d889ae8a,INTRON_IME_HUMHPRTB__CL_INTRON_IME_044,Humhprtb,intron,INTRON_IME,Humhprtb,intron,silver,unverified,661,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_HX1_CL_INTRON_IME_022,INTRON_IME_HX1__CL_INTRON_IME_022,Hx1,intron,INTRON_IME,Hx1,intron,silver,unverified,211,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_HX1_CL_INTRON_IME_025,INTRON_IME_HX1__CL_INTRON_IME_025,Hx1,intron,INTRON_IME,Hx1,intron,silver,unverified,214,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_HX1_CL_INTRON_IME_027,INTRON_IME_HX1__CL_INTRON_IME_027,Hx1,intron,INTRON_IME,Hx1,intron,silver,unverified,212,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_IGAPDHI_CL_INT_8198377a,INTRON_IME_IGAPDHI__CL_INTRON_IME_011,Igapdhi,intron,INTRON_IME,Igapdhi,intron,silver,unverified,291,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_IGAPDHII_CL_IN_dbd0b0f3,INTRON_IME_IGAPDHII__CL_INTRON_IME_017,Igapdhii,intron,INTRON_IME,Igapdhii,intron,silver,unverified,518,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_IGAPDHII_CL_IN_49cf929e,INTRON_IME_IGAPDHII__CL_INTRON_IME_023,Igapdhii,intron,INTRON_IME,Igapdhii,intron,silver,unverified,516,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_IGAPDHII_CL_IN_e8401705,INTRON_IME_IGAPDHII__CL_INTRON_IME_024,Igapdhii,intron,INTRON_IME,Igapdhii,intron,silver,unverified,516,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_IGAPDHII_CL_IN_d661cd79,INTRON_IME_IGAPDHII__CL_INTRON_IME_026,Igapdhii,intron,INTRON_IME,Igapdhii,intron,silver,unverified,517,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_IGAPDHI_II_CL__a76129c4,INTRON_IME_IGAPDHI_II__CL_INTRON_IME_021,Igapdhi-Ii,intron,INTRON_IME,Igapdhi-Ii,intron,silver,unverified,513,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_INTRON_CL_INTR_85501859,INTRON_IME_INTRON__CL_INTRON_IME_034,Intron,intron,INTRON_IME,intron,intron,silver,unverified,296,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_MIR_FF4_CL_INT_34e3b85d,INTRON_IME_MIR_FF4__CL_INTRON_IME_001,Mir-Ff4,intron,INTRON_IME,Mir-Ff4,intron,silver,unverified,376,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_MIR_FF4_CL_INT_370976e5,INTRON_IME_MIR_FF4__CL_INTRON_IME_010,Mir-Ff4,intron,INTRON_IME,Mir-Ff4,intron,silver,unverified,349,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_MODIFIED_CL_IN_84ecd5f4,INTRON_IME_MODIFIED__CL_INTRON_IME_003,Modified,intron,INTRON_IME,Modified,intron,silver,unverified,164,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_NUMBER_CL_INTR_a5d0addc,INTRON_IME_NUMBER__CL_INTRON_IME_035,Number,intron,INTRON_IME,Number,intron,silver,unverified,304,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_PDK_CL_INTRON_IME_042,INTRON_IME_PDK__CL_INTRON_IME_042,Pdk,intron,INTRON_IME,Pdk,intron,silver,unverified,742,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_SV40_CL_INTRON_IME_041,INTRON_IME_SV40__CL_INTRON_IME_041,Sv40,intron,INTRON_IME,Sv40,intron,silver,unverified,614,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_SYNTHETIC_CL_I_0455c2bc,INTRON_IME_SYNTHETIC__CL_INTRON_IME_036,Synthetic,intron,INTRON_IME,Synthetic,intron,silver,unverified,296,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_INTRON_IME_UBIQUITIN_CL_I_e851f1a4,INTRON_IME_UBIQUITIN__CL_INTRON_IME_015,Ubiquitin,intron,INTRON_IME,Ubiquitin,intron,silver,unverified,1010,m|a|m|m|a|l|i|a|n
SPLICIFY_NONCDS_MISC_SIGNAL_F2A,MISC_SIGNAL_F2A,F2A,misc_feature,MISC_SIGNAL,F2A,signal,gold,auto_verified,204,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES,MISC_SIGNAL_IRES,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,586,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR3,MISC_SIGNAL_IRES__VAR3,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,587,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR4,MISC_SIGNAL_IRES__VAR4,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,588,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR5,MISC_SIGNAL_IRES__VAR5,IRES,misc_feature,MISC_SIGNAL,IRES,signal,gold,auto_verified,589,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR6,MISC_SIGNAL_IRES__VAR6,IRES,misc_feature,MISC_SIGNAL,IRES,signal,gold,auto_verified,591,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR9,MISC_SIGNAL_IRES__VAR9,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,596,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR10,MISC_SIGNAL_IRES__VAR10,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,575,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR11,MISC_SIGNAL_IRES__VAR11,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,574,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR12,MISC_SIGNAL_IRES__VAR12,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,598,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR15,MISC_SIGNAL_IRES__VAR15,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,573,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR16,MISC_SIGNAL_IRES__VAR16,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,572,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR17,MISC_SIGNAL_IRES__VAR17,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,601,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR18,MISC_SIGNAL_IRES__VAR18,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,571,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR19,MISC_SIGNAL_IRES__VAR19,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,563,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR22,MISC_SIGNAL_IRES__VAR22,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,552,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_IRES_VAR26,MISC_SIGNAL_IRES__VAR26,IRES,misc_feature,MISC_SIGNAL,IRES,signal,silver,unverified,426,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_P2A,MISC_SIGNAL_P2A,P2A,misc_feature,MISC_SIGNAL,P2A,signal,silver,unverified,1539,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_MISC_SIGNAL_T2A_VAR8,MISC_SIGNAL_T2A__VAR8,T2A,misc_feature,MISC_SIGNAL,T2A,signal,silver,unverified,3636,u|n|i|v|e|r|s|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_2MICRON_CL__971ec749,ORI_BACTERIAL_2MICRON__CL_ORI_BACTERIAL_053,2Micron,rep_origin,ORI_BACTERIAL,2Micron,ori,silver,unverified,963,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_2MICRON_CL__6d36444c,ORI_BACTERIAL_2MICRON__CL_ORI_BACTERIAL_100,2Micron,rep_origin,ORI_BACTERIAL,2Micron,ori,silver,unverified,1473,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_AGROBACTERI_e2b97cea,ORI_BACTERIAL_AGROBACTERIUM__CL_ORI_BACTERIAL_151,Agrobacterium,rep_origin,ORI_BACTERIAL,Agrobacterium,ori,silver,unverified,3760,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_ARS1_CL_ORI_8dd4d8a3,ORI_BACTERIAL_ARS1__CL_ORI_BACTERIAL_038,Ars1,rep_origin,ORI_BACTERIAL,Ars1,ori,silver,unverified,745,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_ARS1_CL_ORI_398aafcf,ORI_BACTERIAL_ARS1__CL_ORI_BACTERIAL_128,Ars1,rep_origin,ORI_BACTERIAL,Ars1,ori,silver,unverified,1206,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_ARS4_CL_ORI_73b07171,ORI_BACTERIAL_ARS4__CL_ORI_BACTERIAL_052,Ars4,rep_origin,ORI_BACTERIAL,Ars4,ori,silver,unverified,391,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_ARSH4_CL_OR_fb5aced4,ORI_BACTERIAL_ARSH4__CL_ORI_BACTERIAL_172,Arsh4,rep_origin,ORI_BACTERIAL,Arsh4,ori,silver,unverified,377,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CDF_CL_ORI__e9a19bc6,ORI_BACTERIAL_CDF__CL_ORI_BACTERIAL_062,Cdf,rep_origin,ORI_BACTERIAL,Cdf,ori,silver,unverified,796,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEN_ARS_CL__16603220,ORI_BACTERIAL_CEN/ARS__CL_ORI_BACTERIAL_012,Cen/Ars,rep_origin,ORI_BACTERIAL,Cen/Ars,ori,silver,unverified,404,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEN4_ARS416_b8fb34e5,ORI_BACTERIAL_CEN4/ARS416__CL_ORI_BACTERIAL_010,Cen4/Ars416,rep_origin,ORI_BACTERIAL,Cen4/Ars416,ori,silver,unverified,1012,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEN4_ARS416_7b2d51f6,ORI_BACTERIAL_CEN4/ARS416__CL_ORI_BACTERIAL_011,Cen4/Ars416,rep_origin,ORI_BACTERIAL,Cen4/Ars416,ori,silver,unverified,1012,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEN4_ARS416_f695f7cc,ORI_BACTERIAL_CEN4/ARS416__CL_ORI_BACTERIAL_125,Cen4/Ars416,rep_origin,ORI_BACTERIAL,Cen4/Ars416,ori,silver,unverified,2319,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEN4_ARS416_76d6fc54,ORI_BACTERIAL_CEN4/ARS416__CL_ORI_BACTERIAL_202,Cen4/Ars416,rep_origin,ORI_BACTERIAL,Cen4/Ars416,ori,silver,unverified,426,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEN6_ARS4_C_f01a0663,ORI_BACTERIAL_CEN6/ARS4__CL_ORI_BACTERIAL_029,Cen6/Ars4,rep_origin,ORI_BACTERIAL,Cen6/Ars4,ori,silver,unverified,515,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEN6_ARSH_C_162a4e1e,ORI_BACTERIAL_CEN6/ARSH__CL_ORI_BACTERIAL_157,Cen6/Arsh,rep_origin,ORI_BACTERIAL,Cen6/Arsh,ori,silver,unverified,530,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEREVISIAE__1b84b95b,ORI_BACTERIAL_CEREVISIAE__CL_ORI_BACTERIAL_180,Cerevisiae,rep_origin,ORI_BACTERIAL,Cerevisiae,ori,silver,unverified,1593,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_CEREVISIAE__784ad54d,ORI_BACTERIAL_CEREVISIAE__CL_ORI_BACTERIAL_181,Cerevisiae,rep_origin,ORI_BACTERIAL,Cerevisiae,ori,silver,unverified,1091,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COL_CL_ORI__1d247f28,ORI_BACTERIAL_COL__CL_ORI_BACTERIAL_186,Col,rep_origin,ORI_BACTERIAL,Col,ori,silver,unverified,674,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_85e633b8,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_005,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,281,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_6d506022,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_014,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,620,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_0b5fdd42,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_028,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,691,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_c431db99,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_031,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,1336,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_b668dcca,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_032,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,945,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_cda4af2d,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_033,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,1050,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_3cd0c811,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_034,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,1050,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_ef88fb55,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_050,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,282,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_5c87c8f0,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_051,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,237,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_9728804d,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_083,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,281,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_4c77cfb6,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_088,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,294,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_3d2256ff,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_091,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,317,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_d09c9aa3,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_093,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,405,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_6fed43e0,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_097,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,227,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_0d487dcc,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_099,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,663,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_8322f1bb,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_106,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,686,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_b7f9005d,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_107,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,686,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_347257bd,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_108,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,4558,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_98790278,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_109,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,7857,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_0c16c792,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_120,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,249,b|a|c|t|e|r|i|a|l
SPLICIFY_NONCDS_ORI_BACTERIAL_COLE1_CL_OR_8892f021,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_142,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,254,b|a|c|t|e|r|i|a|l
